Label (Grouping),NAME,Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
"Census Tract 4373, Alameda County, California",4373,"3,359","3,004",526,316,54,"1,124",161,823,355,317,17,14,52,5,155,4,11,5,3,0,0,12,20,9,10,36,0,0,0,2,5,0,13,10,1,0,0,0,0,4,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4374, Alameda County, California",4374,"3,508","3,008",618,156,89,778,110,"1,257",500,462,14,21,36,20,292,3,3,2,8,1,2,19,30,8,3,34,5,0,0,6,0,1,13,3,6,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4375, Alameda County, California",4375,"4,797","3,987",557,273,95,732,260,"2,070",810,752,5,29,87,4,497,8,3,4,23,2,1,22,33,8,26,53,3,7,1,0,14,0,11,4,6,2,0,0,0,0,0,1,0,2,0,2,5,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4376, Alameda County, California",4376,"3,398","2,934",451,236,61,984,162,"1,040",464,426,12,9,53,7,249,2,7,0,8,1,0,12,36,11,19,38,5,3,0,1,4,0,18,2,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4377.01, Alameda County, California",4377.01,"3,991","3,494",376,434,105,656,196,"1,727",497,448,25,15,31,1,290,5,7,2,18,0,0,25,12,4,13,39,8,6,0,2,0,0,16,4,0,0,0,0,2,0,0,0,0,0,0,1,10,0,0,4,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4377.02, Alameda County, California",4377.02,"4,404","3,891",277,217,120,552,131,"2,594",513,481,7,10,13,1,366,1,8,3,12,0,0,35,8,4,13,26,2,0,0,8,0,1,3,1,5,0,2,0,0,0,3,0,1,0,0,0,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"Census Tract 4378, Alameda County, California",4378,"4,785","4,222",755,313,82,"1,730",210,"1,132",563,525,30,19,56,5,313,1,9,5,9,2,1,8,24,14,29,28,2,1,0,3,0,0,3,8,8,1,0,0,1,0,0,0,0,1,0,0,7,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0
"Census Tract 4379, Alameda County, California",4379,"2,426","2,062",392,163,84,481,116,826,364,334,10,28,36,7,212,9,7,1,0,3,1,9,8,2,1,28,2,2,0,1,4,0,5,1,1,3,0,0,3,2,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4380, Alameda County, California",4380,"3,409","2,852",960,200,48,"1,020",42,582,557,478,23,28,91,9,247,10,9,1,14,3,0,16,20,5,2,70,2,0,6,5,1,0,17,13,24,0,0,0,0,0,2,0,0,0,0,0,8,1,0,1,3,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4381, Alameda County, California",4381,"7,807","6,549","1,436",458,147,"2,406",142,"1,960","1,258","1,130",39,32,162,11,691,12,22,2,32,10,1,43,36,27,10,113,20,6,0,4,4,0,36,20,12,6,2,0,1,0,0,0,0,1,0,1,13,3,0,2,0,0,1,1,4,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4382.01, Alameda County, California",4382.01,"4,752","4,176",696,196,76,"1,244",188,"1,776",576,529,10,18,44,10,316,7,5,2,11,4,0,20,44,9,29,39,5,0,1,5,4,0,13,6,2,1,0,0,0,0,0,0,1,0,0,1,8,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4382.03, Alameda County, California",4382.03,"4,200","3,779",579,294,51,"1,997",128,730,421,393,20,11,45,3,220,0,0,0,13,10,1,12,19,29,10,28,1,4,2,1,1,0,9,3,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4382.04, Alameda County, California",4382.04,"5,940","5,374",949,350,67,"2,549",236,"1,223",566,524,25,24,87,5,244,1,17,1,14,1,1,20,54,19,11,38,4,5,0,4,0,0,15,4,2,0,0,1,0,2,0,0,0,1,0,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4383, Alameda County, California",4383,"3,865","3,430",393,237,72,"1,402",236,"1,090",435,377,12,28,38,2,195,2,14,0,9,2,2,10,40,5,18,53,6,0,0,3,2,0,26,5,4,0,0,0,1,0,4,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"Census Tract 4384, Alameda County, California",4384,"2,460","2,122",471,104,22,948,116,461,338,291,11,13,26,5,169,1,1,1,3,8,0,14,17,8,14,40,11,1,0,4,2,0,14,7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0
"Census Tract 4401, Alameda County, California",4401,"2,656","2,342",915,124,7,"1,085",31,180,314,275,11,24,65,6,147,2,6,0,1,0,0,8,0,5,0,28,1,6,0,2,3,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,11,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4402, Alameda County, California",4402,"5,786","4,980",781,218,171,"1,296",62,"2,452",806,743,18,28,34,9,563,0,15,1,24,1,0,30,0,18,2,59,0,0,0,3,2,3,40,4,5,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
"Census Tract 4403.01, Alameda County, California",4403.01,"7,129","6,159","1,178",329,105,"3,204",76,"1,267",970,860,18,64,165,9,458,14,18,5,22,2,0,24,41,20,0,103,6,2,1,4,4,0,37,18,16,0,1,0,3,2,5,0,0,1,0,3,7,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4403.04, Alameda County, California",4403.04,"4,726","4,358",404,226,25,"3,327",53,323,368,335,11,22,117,12,90,3,30,0,6,4,0,2,15,20,3,29,4,1,0,3,0,0,4,4,9,0,0,0,0,1,3,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4403.05, Alameda County, California",4403.05,"3,682","3,311",487,201,18,"2,309",73,223,371,348,9,14,76,0,190,2,14,0,8,1,0,9,7,18,0,18,1,0,0,0,0,1,0,3,3,5,0,0,0,0,0,0,0,1,0,4,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4403.06, Alameda County, California",4403.06,"4,020","3,709",306,215,38,"2,884",46,220,311,275,13,21,95,4,92,3,12,0,4,3,0,5,19,3,1,34,0,10,0,1,8,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4403.07, Alameda County, California",4403.07,"4,459","3,955",864,224,35,"2,341",54,437,504,459,16,32,105,11,227,5,9,0,6,0,1,11,23,11,2,34,1,5,0,6,1,0,6,7,7,0,0,0,0,1,0,0,0,0,0,0,11,2,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4403.08, Alameda County, California",4403.08,"5,946","5,249",944,235,113,"2,906",136,915,697,622,19,23,121,6,351,10,19,3,9,6,0,7,22,23,3,65,4,3,0,6,0,0,22,8,9,5,0,0,1,1,0,0,1,0,3,2,8,2,0,1,0,0,0,0,1,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Census Tract 4403.31, Alameda County, California",4403.31,"3,323","3,007",362,158,25,"2,054",63,345,316,292,5,19,65,5,129,4,4,1,9,5,0,9,10,22,5,20,1,3,0,0,2,1,5,3,2,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"Census Tract 4403.32, Alameda County, California",4403.32,"3,034","2,842",242,107,0,"2,401",7,85,192,176,10,5,79,2,35,1,4,0,2,0,0,0,16,15,7,15,0,2,0,0,0,0,3,2,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4403.33, Alameda County, California",4403.33,"2,787","2,562",198,134,1,"2,114",23,92,225,207,8,17,86,1,56,5,11,1,8,0,0,4,4,5,1,18,6,1,0,2,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4403.34, Alameda County, California",4403.34,"4,083","3,670",502,178,26,"2,594",42,328,413,378,12,22,93,7,138,7,10,3,7,5,0,10,40,18,6,26,3,1,0,2,0,0,3,5,9,0,0,0,0,2,0,0,0,0,0,1,6,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"Census Tract 4403.36, Alameda County, California",4403.36,"4,583","4,071",766,241,71,"2,460",63,470,512,461,18,11,78,10,264,4,5,1,6,2,0,21,22,15,4,43,7,5,0,0,3,0,15,6,6,0,1,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Census Tract 4403.37, Alameda County, California",4403.37,"2,708","2,516",233,81,6,"2,087",11,98,192,175,4,6,71,0,64,0,5,0,4,0,0,0,0,15,6,17,4,2,0,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4403.38, Alameda County, California",4403.38,"4,305","3,918",533,221,27,"2,868",35,234,387,360,17,12,145,7,82,8,16,6,12,7,0,9,23,12,4,21,10,1,0,1,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4411, Alameda County, California",4411,"4,504","3,953","1,744",121,45,"1,732",11,300,551,500,8,53,158,10,225,4,1,0,0,2,0,10,22,7,0,46,2,1,2,3,12,0,14,2,7,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4412, Alameda County, California",4412,"7,277","6,334","2,510",144,52,"3,139",25,464,943,862,31,53,267,24,400,7,9,0,17,3,0,6,15,27,3,68,4,12,0,8,0,0,22,1,15,0,0,0,0,2,0,1,1,1,0,1,11,1,0,3,0,3,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"Census Tract 4413.01, Alameda County, California",4413.01,"3,248","3,004",669,100,18,"2,082",10,125,244,219,20,20,90,2,63,0,6,0,0,1,2,5,3,6,1,21,5,7,0,0,0,0,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0
"Census Tract 4413.02, Alameda County, California",4413.02,"5,661","5,169","1,338",137,36,"3,339",19,300,492,449,35,24,122,3,194,9,14,2,3,6,0,12,12,13,0,33,1,0,0,7,7,1,8,1,6,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0
"Census Tract 4414.01, Alameda County, California",4414.01,"7,319","6,740","1,181",226,34,"4,825",58,416,579,537,27,29,194,2,204,6,17,2,1,6,1,8,15,22,3,35,2,0,0,5,5,0,4,8,5,4,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0
"Census Tract 4414.02, Alameda County, California",4414.02,"5,293","4,863",951,154,21,"3,517",19,201,430,402,27,19,145,5,147,5,6,0,8,0,0,7,19,13,1,25,3,1,0,3,0,0,0,10,5,0,0,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4415.01, Alameda County, California",4415.01,"5,913","5,499",656,222,33,"4,382",35,171,414,373,18,9,165,3,105,0,11,1,2,1,0,2,32,20,4,35,2,6,0,4,1,0,4,12,0,1,0,0,0,5,0,0,0,0,0,0,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Census Tract 4415.03, Alameda County, California",4415.03,"7,763","7,491",525,105,13,"6,715",8,125,272,234,9,10,130,1,57,3,2,3,1,0,0,1,7,9,1,33,10,2,3,2,7,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4415.21, Alameda County, California",4415.21,"5,779","5,435",759,121,14,"4,319",70,152,344,310,19,22,103,6,108,5,5,3,0,7,1,6,19,3,3,28,4,3,0,3,4,0,9,1,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4415.22, Alameda County, California",4415.22,"4,868","4,538",613,150,19,"3,428",28,300,330,298,16,17,75,8,108,7,10,8,10,2,1,6,15,15,0,29,5,1,0,0,6,0,4,3,8,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4415.23, Alameda County, California",4415.23,"4,169","3,977",390,121,12,"3,305",27,122,192,163,8,9,65,5,43,2,4,0,6,4,0,0,8,6,3,21,1,1,1,3,0,2,5,3,0,2,0,0,0,0,0,0,0,1,0,2,6,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
"Census Tract 4415.24, Alameda County, California",4415.24,"4,040","3,852",344,88,5,"3,333",13,69,188,173,11,5,64,5,49,0,7,0,3,4,0,0,9,15,1,11,2,1,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"Census Tract 4415.25, Alameda County, California",4415.25,"1,632","1,584",128,56,3,"1,329",0,68,48,35,3,6,2,0,16,0,1,2,2,1,0,2,0,0,0,11,2,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4416.01, Alameda County, California",4416.01,"4,641","4,086","1,225",142,25,"2,260",44,390,555,495,15,27,126,20,263,0,6,1,3,0,0,11,6,9,8,52,4,4,1,3,13,0,9,5,9,0,0,0,2,2,0,0,0,0,0,0,8,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4416.02, Alameda County, California",4416.02,"7,220","6,361","1,364",257,75,"3,639",79,947,859,795,24,31,202,10,370,4,12,2,15,4,0,19,74,21,7,52,4,1,0,0,1,0,24,4,4,3,0,0,2,0,6,0,0,0,0,3,9,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,1,0,0,1,1,0,0,0
"Census Tract 4417.01, Alameda County, California",4417.01,"3,846","3,485",688,103,50,"1,969",50,625,361,341,12,16,59,0,228,2,1,1,0,1,0,0,15,4,2,13,1,0,0,1,1,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4417.02, Alameda County, California",4417.02,"5,728","5,293","1,238",423,80,"2,967",30,555,435,392,42,32,124,11,138,2,7,2,2,2,0,9,13,8,0,41,0,4,0,8,3,0,13,4,7,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4418, Alameda County, California",4418,"7,195","6,615","1,697",196,51,"4,070",29,572,580,526,38,27,125,1,273,11,13,3,11,4,0,3,4,13,0,47,3,10,0,0,4,0,10,5,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
"Census Tract 4419.21, Alameda County, California",4419.21,"3,718","3,309",840,116,20,"1,793",29,511,409,381,29,30,81,3,184,0,4,0,8,4,0,22,7,8,1,25,0,3,0,3,1,0,12,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"Census Tract 4419.23, Alameda County, California",4419.23,"6,333","5,989",918,217,47,"4,191",32,584,344,288,15,22,81,4,121,0,7,0,15,4,0,3,8,6,2,44,9,5,0,4,0,0,14,1,6,1,1,0,0,3,0,0,0,0,0,0,12,3,0,2,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4419.24, Alameda County, California",4419.24,"7,619","7,030","1,365",186,42,"4,955",28,454,589,547,26,23,201,12,217,3,16,0,5,3,0,4,11,25,1,37,2,2,1,1,5,0,13,6,6,1,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4419.26, Alameda County, California",4419.26,"3,836","3,502",503,128,35,"2,328",22,486,334,294,15,13,59,2,165,0,7,0,4,8,0,8,5,5,3,36,5,5,0,3,4,0,13,1,2,0,0,2,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4419.27, Alameda County, California",4419.27,"4,310","4,023",729,120,28,"2,862",21,263,287,254,9,7,86,6,118,0,0,1,0,9,0,10,4,1,3,30,0,2,0,3,3,2,13,1,3,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4419.28, Alameda County, California",4419.28,"3,392","3,142",550,153,23,"2,241",23,152,250,207,15,17,82,0,67,0,5,0,5,2,0,4,7,3,0,37,6,3,0,3,3,0,17,2,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4419.29, Alameda County, California",4419.29,"3,466","3,291",524,68,4,"2,608",1,86,175,157,8,11,60,0,43,1,2,0,5,0,0,0,12,13,2,15,0,1,0,5,1,0,1,2,2,0,0,0,1,1,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4420, Alameda County, California",4420,"3,236","3,020",473,24,9,"2,470",3,41,216,201,4,15,79,1,65,0,2,2,2,0,0,2,9,20,0,13,0,3,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4421, Alameda County, California",4421,"5,265","5,100",687,25,1,"4,333",8,46,165,157,3,5,57,2,51,0,2,0,2,3,0,3,18,11,0,6,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Census Tract 4422, Alameda County, California",4422,"7,454","7,124","1,074",96,26,"5,756",13,159,330,303,10,13,93,5,154,0,4,0,1,2,0,0,12,9,0,21,4,0,0,0,4,0,2,1,8,0,0,0,2,0,0,0,0,0,0,0,5,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Census Tract 4423.01, Alameda County, California",4423.01,"5,046","4,707",926,122,30,"3,178",18,433,339,314,15,32,75,0,156,2,9,0,1,3,0,2,4,13,2,23,6,0,0,3,2,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4423.02, Alameda County, California",4423.02,"6,417","5,924",948,339,42,"3,838",45,712,493,439,29,29,130,11,153,4,12,1,11,3,0,11,27,15,3,39,4,12,0,0,4,0,8,1,6,2,1,0,0,1,0,0,0,0,0,0,13,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"Census Tract 4424, Alameda County, California",4424,"6,347","5,630","1,488",154,63,"2,927",49,949,717,644,39,41,140,20,331,4,13,1,4,4,0,11,20,16,0,70,5,7,2,4,2,0,22,4,19,2,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4425.01, Alameda County, California",4425.01,"3,543","3,201",860,90,38,"1,760",20,433,342,308,13,21,72,3,147,4,6,4,2,1,0,19,9,7,0,34,6,4,0,1,1,0,9,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4425.02, Alameda County, California",4425.02,"3,976","3,622",879,97,91,"2,019",23,513,354,319,14,13,59,1,180,2,12,0,0,6,0,7,11,8,6,33,0,2,0,1,0,1,12,13,1,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4426.01, Alameda County, California",4426.01,"3,854","3,425","1,157",52,34,"1,869",19,294,429,373,13,28,111,4,158,0,6,0,2,5,0,0,32,6,8,56,4,0,0,1,0,0,27,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4426.02, Alameda County, California",4426.02,"5,314","4,716","1,389",154,46,"2,400",30,697,598,546,17,40,197,7,224,2,6,2,14,3,0,12,3,14,5,43,2,3,0,3,2,0,17,3,11,0,0,0,0,0,0,0,2,0,0,0,9,2,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4427, Alameda County, California",4427,"3,141","2,740","1,181",56,33,"1,293",17,160,401,364,19,31,87,0,203,2,0,0,8,0,2,1,4,6,1,34,0,4,1,5,2,0,13,8,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4428, Alameda County, California",4428,"2,959","2,632",801,47,46,"1,494",14,230,327,288,9,25,78,10,135,1,3,0,7,2,0,7,5,4,2,38,10,5,0,0,0,0,10,4,6,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 4429, Alameda County, California",4429,"7,661","7,005","1,654",115,23,"4,549",43,621,656,592,13,46,147,8,320,3,7,2,5,3,1,0,17,16,4,48,3,6,0,4,4,0,8,14,7,1,0,0,1,0,0,0,0,0,0,0,15,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Census Tract 4430.01, Alameda County, California",4430.01,"2,888","2,574",589,45,13,"1,474",1,452,314,297,7,37,78,4,153,1,6,0,1,3,0,0,4,1,2,15,0,1,0,4,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Census Tract 4430.02, Alameda County, California",4430.02,"6,650","6,100","1,175",73,35,"4,157",11,649,550,497,12,45,105,6,281,2,3,0,12,0,0,2,15,12,2,42,7,4,0,6,6,1,3,8,3,3,0,0,0,0,0,0,0,1,0,0,9,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
